Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1981,,0.0,49.0,55.0,19.0,0.0,0.0,0.0,21.0,,274.0,3.0
Italy,1982,,0.0,39.0,56.0,24.0,0.0,0.0,0.0,16.0,,233.0,3.0
Italy,1983,,0.0,43.0,73.0,13.0,0.0,0.0,0.0,24.0,,196.0,2.0
Italy,1984,,0.0,42.0,48.0,0.0,0.0,0.0,0.0,22.0,,230.0,3.0
Italy,1985,,0.0,45.0,72.0,0.0,0.0,0.0,0.0,16.0,,224.0,3.0
Italy,1986,,0.0,26.0,56.0,0.0,0.0,0.0,0.0,11.0,,243.0,2.0
Italy,1987,,0.0,33.0,14.0,17.0,0.0,0.0,0.0,12.0,,233.0,1.0
Italy,1988,,0.0,38.0,16.0,17.0,0.0,0.0,0.0,17.0,,226.0,3.0
Italy,1989,,0.0,44.0,14.0,12.0,0.0,0.0,0.0,15.0,,220.0,2.0
Italy,1990,,0.0,42.0,14.0,0.0,0.0,0.0,0.0,16.0,,232.0,2.0
Italy,1991,,0.0,37.0,14.0,9.0,0.0,0.0,0.0,14.0,,218.0,3.0
Italy,1992,,0.0,31.0,12.0,98.0,0.0,0.0,0.0,18.0,,161.0,2.0
Italy,1993,,0.0,7.0,5.0,90.0,0.0,0.0,0.0,7.0,,156.0,2.0
Italy,1994,,0.0,14.0,14.0,23.0,0.0,0.0,0.0,14.0,,176.0,2.0
Italy,1995,,0.0,15.0,14.0,11.0,0.0,0.0,0.0,15.0,,178.0,2.0
Italy,1996,,0.0,14.0,9.0,0.0,0.0,0.0,0.0,14.0,,184.0,2.0
Italy,1997,,0.0,12.0,4.0,0.0,0.0,0.0,0.0,12.0,,188.0,1.0
Italy,1998,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,,187.0,0.0
Italy,1999,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,187.0,0.0
Italy,2000,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,190.0,0.0
