DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2020,1069745.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2021,1122183.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2022,1168405.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2023,1176092.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2024,1191110.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P3,IT,2025,1202393.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,1995,138665.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,1996,140613.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,1997,142301.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,1998,143221.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,1999,145333.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2000,150847.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2001,159176.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2002,162156.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2003,163833.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2004,166554.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2005,169107.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2006,169579.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2007,171032.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2008,171044.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2009,172430.3,,
