time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2004,2004,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,19700.0
2005,2005,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,20300.0
2006,2006,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21700.0
2007,2007,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
2008,2008,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,22100.0
2009,2009,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21600.0
2010,2010,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21500.0
2011,2011,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21600.0
2012,2012,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2013,2013,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,19800.0
2014,2014,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,19700.0
2015,2015,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,20100.0
2016,2016,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,20500.0
2017,2017,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21100.0
2018,2018,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21700.0
2019,2019,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,22400.0
2020,2020,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2021,2021,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,23400.0
2022,2022,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,25000.0
2023,2023,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,27200.0
2024,2024,ITF2,Molise,EUR_HAB,Euro per inhabitant,A,Annual,27700.0
2000,2000,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,14500.0
2001,2001,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,15300.0
2002,2002,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,16000.0
2003,2003,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,16300.0
2004,2004,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,16700.0
2005,2005,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17100.0
2006,2006,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17800.0
2007,2007,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18400.0
2008,2008,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18400.0
2009,2009,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17900.0
2010,2010,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17700.0
2011,2011,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17600.0
2012,2012,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17600.0
2013,2013,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17300.0
2014,2014,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17400.0
2015,2015,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,17900.0
2016,2016,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18200.0
2017,2017,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18600.0
2018,2018,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18900.0
2019,2019,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,19400.0
2020,2020,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,18100.0
2021,2021,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,19900.0
2022,2022,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,21800.0
2023,2023,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,23700.0
2024,2024,ITF3,Campania,EUR_HAB,Euro per inhabitant,A,Annual,24600.0
