Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
nuclear,Italy,Southern Europe,Europe,Caorso nuclear power plant,--,,,882.0,retired,1981,1990.0,boiling water reactor,,,,,,,,Societa Gestione Impanti Nucleari SPA,,,,,,,,,,,45.0729,9.8716,exact,,Piacenza,,Emilia-Romagna,L100000500148,G100000500335,https://www.gem.wiki/Caorso_nuclear_power_plant
nuclear,Italy,Southern Europe,Europe,Enrico Fermi nuclear power plant,--,,Trino Vercellese,270.0,retired,1965,1990.0,pressurized water reactor,,,,,,,,Societa Gestione Impanti Nucleari SPA,,,,,,,,,,,45.1833,8.2773,exact,,Vercelli,,Piedmont,L100000500214,G100000500520,https://www.gem.wiki/Enrico_Fermi_nuclear_power_plant
nuclear,Italy,Southern Europe,Europe,Garigliano nuclear power plant,--,,,160.0,retired,1964,1982.0,boiling water reactor,,,,,,,,Societa Gestione Impanti Nucleari SPA,,,,,,,,,,,41.2584,13.8349,exact,,Caserta,,Campania,L100000500235,G100000500568,https://www.gem.wiki/Garigliano_nuclear_power_plant
nuclear,Italy,Southern Europe,Europe,Latina nuclear power plant,--,,,160.0,retired,1964,1987.0,gas-cooled reactor,,,,,,,,Societa Gestione Impanti Nucleari SPA,,,,,,,,,,,41.4253,12.8067,exact,Latina,Latina,,Lazio,L100000500227,G100000500552,https://www.gem.wiki/Latina_nuclear_power_plant
nuclear,Italy,Southern Europe,Europe,Montalto di Castro nuclear power plant,1,,Alto Lazio,1009.0,cancelled,,,boiling water reactor,,,,,,,,,,,,,,,,,,,42.3594,11.5301,exact,,Viterbo,,Lazio,L100000500421,G100000501206,https://www.gem.wiki/Montalto_di_Castro_nuclear_power_plant
nuclear,Italy,Southern Europe,Europe,Montalto di Castro nuclear power plant,2,,Alto Lazio,1009.0,cancelled,,,boiling water reactor,,,,,,,,Enel - Societa Per Azioni,,,,,,,,,,,42.3594,11.5301,exact,,Viterbo,,Lazio,L100000500421,G100000501207,https://www.gem.wiki/Montalto_di_Castro_nuclear_power_plant
bioenergy,Italy,Southern Europe,Europe,Acerra power station,1,,,68.0,operating,2008,,,bioenergy: biodiesel,,,,,,,Fri-El Green Power SpA [100%],,,,,,,,,,,40.9744,14.3766,exact,,Napoli,,Campania,L100000200210,G100000200236,https://www.gem.wiki/Acerra_power_station
bioenergy,Italy,Southern Europe,Europe,Acerra Waste-to-Energy power station,1,,,36.0,operating,2009,,,bioenergy: refuse (municipal and industrial wastes),,,,,,,A2A SpA [100%],,,,,,,,,,,40.9791,14.3828,exact,,Napoli,,Campania,L100000200211,G100000200237,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
bioenergy,Italy,Southern Europe,Europe,Acerra Waste-to-Energy power station,2,,,36.0,operating,2009,,,bioenergy: refuse (municipal and industrial wastes),,,,,,,A2A SpA [100%],,,,,,,,,,,40.9791,14.3828,exact,,Napoli,,Campania,L100000200211,G100000200238,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
bioenergy,Italy,Southern Europe,Europe,Acerra Waste-to-Energy power station,3,,,36.0,operating,2009,,,bioenergy: refuse (municipal and industrial wastes),,,,,,,A2A SpA [100%],,,,,,,,,,,40.9791,14.3828,exact,,Napoli,,Campania,L100000200211,G100000200239,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
