year,region,type,demand_GWh
2020,Calabria,Fonti tradizionali,12586.197855964
2020,Calabria,Saldo import/export,-10437.58
2020,Campania,Fonti rinnovabili,5272.805949969
2020,Campania,Saldo import/export,6726.594
2020,Campania,Fonti tradizionali,6278.141690031
2020,Emilia-Romagna,Saldo import/export,5311.304
2020,Emilia-Romagna,Fonti rinnovabili,5154.757535854
2020,Emilia-Romagna,Fonti tradizionali,19339.478169146
2020,Friuli-Venezia Giulia,Fonti tradizionali,5155.251416534
2020,Friuli-Venezia Giulia,Saldo import/export,2253.0044
2020,Friuli-Venezia Giulia,Fonti rinnovabili,1419.428457766
2020,Lazio,Fonti tradizionali,9239.879494496001
2020,Lazio,Saldo import/export,9853.645
2020,Lazio,Fonti rinnovabili,2494.999145504
2020,Liguria,Fonti rinnovabili,291.716848243
2020,Liguria,Saldo import/export,3931.248
2020,Liguria,Fonti tradizionali,1912.362047757
2020,Lombardia,Fonti tradizionali,34654.195026292
2020,Lombardia,Saldo import/export,15530.253
2020,Lombardia,Fonti rinnovabili,6403.480303708
2020,Marche,Fonti tradizionali,480.28578942599995
2020,Marche,Fonti rinnovabili,1494.945757574
2020,Marche,Saldo import/export,4815.044
2020,Molise,Fonti rinnovabili,1016.37138671
2020,Molise,Saldo import/export,-1769.3479
2020,Molise,Fonti tradizionali,2076.29818329
2020,Piemonte,Saldo import/export,-4462.465
2020,Piemonte,Fonti tradizionali,19336.673906236
2020,Piemonte,Fonti rinnovabili,3558.021061764
2020,Puglia,Fonti rinnovabili,9881.98191141
2020,Puglia,Saldo import/export,-11098.231
2020,Puglia,Fonti tradizionali,19781.62618859
2020,Sardegna,Fonti tradizionali,9065.079031021
2020,Sardegna,Saldo import/export,-3301.6023
2020,Sardegna,Fonti rinnovabili,3348.997628979
2020,Sicilia,Fonti tradizionali,10524.98255481
2020,Sicilia,Saldo import/export,3151.2844
2020,Sicilia,Fonti rinnovabili,4827.36491519
2020,Toscana,Fonti rinnovabili,7364.131022607
2020,Toscana,Saldo import/export,3205.3726
2020,Toscana,Fonti tradizionali,8519.822407393
2020,Trentino-Alto Adige,Fonti rinnovabili,871.92188
2020,Trentino-Alto Adige,Fonti tradizionali,1327.279051
2020,Trentino-Alto Adige,Saldo import/export,-6664.8687
2020,Umbria,Fonti rinnovabili,778.70546726
2020,Umbria,Saldo import/export,2114.1914
2020,Umbria,Fonti tradizionali,1371.40753134
2020,Valle d'Aosta,Fonti tradizionali,55.672711
2020,Valle d'Aosta,Fonti rinnovabili,46.42174
2020,Valle d'Aosta,Saldo import/export,-2511.5112
2020,Veneto,Fonti rinnovabili,4076.081959217
2020,Veneto,Saldo import/export,16321.534
2020,Veneto,Fonti tradizionali,6956.397328283
2021,Abruzzo,Saldo import/export,107.39479
2021,Abruzzo,Fonti rinnovabili,1481.3220069
2021,Abruzzo,Fonti tradizionali,3548.4124431
2021,Basilicata,Fonti rinnovabili,3345.383537577
2021,Basilicata,Saldo import/export,-768.44525
2021,Basilicata,Fonti tradizionali,606.553012423
2021,Calabria,Fonti rinnovabili,4049.891241887
2021,Calabria,Saldo import/export,-9022.752
2021,Calabria,Fonti tradizionali,11436.496960113
2021,Campania,Fonti tradizionali,6324.355390676
2021,Campania,Saldo import/export,6941.7563
2021,Campania,Fonti rinnovabili,5527.986219324
2021,Emilia-Romagna,Fonti rinnovabili,5173.676992255
2021,Emilia-Romagna,Saldo import/export,3264.9563
2021,Emilia-Romagna,Fonti tradizionali,23445.810503745
2021,Friuli-Venezia Giulia,Saldo import/export,3029.492
2021,Friuli-Venezia Giulia,Fonti tradizionali,5006.586907123
2021,Friuli-Venezia Giulia,Fonti rinnovabili,1394.240062477
2021,Lazio,Saldo import/export,9943.688
2021,Lazio,Fonti tradizionali,9938.109812674
2021,Lazio,Fonti rinnovabili,2435.248667326
2021,Liguria,Fonti tradizionali,2292.095945777
2021,Liguria,Saldo import/export,3653.036
2021,Liguria,Fonti rinnovabili,296.828959223
2021,Lombardia,Fonti tradizionali,37958.24896864
2021,Lombardia,Fonti rinnovabili,6345.89168236
2021,Lombardia,Saldo import/export,17535.854
2021,Marche,Saldo import/export,5283.1357
2021,Marche,Fonti tradizionali,512.4458881479999
2021,Marche,Fonti rinnovabili,1460.663745852
2021,Molise,Saldo import/export,-1320.4371
2021,Molise,Fonti tradizionali,1643.698433556
2021,Molise,Fonti rinnovabili,1067.816776444
2021,Piemonte,Saldo import/export,-3532.7632
2021,Piemonte,Fonti tradizionali,20823.141936018
2021,Piemonte,Fonti rinnovabili,3573.547225982
2021,Puglia,Fonti rinnovabili,10500.726269685
2021,Puglia,Fonti tradizionali,19762.363330315
2021,Puglia,Saldo import/export,-10565.007
2021,Sardegna,Saldo import/export,-2375.297
2021,Sardegna,Fonti rinnovabili,3420.351720713
2021,Sardegna,Fonti tradizionali,8242.233379287
2021,Sicilia,Saldo import/export,3283.0442
2021,Sicilia,Fonti rinnovabili,5435.157909032
2021,Sicilia,Fonti tradizionali,10493.874620968
2021,Toscana,Saldo import/export,3938.3796
2021,Toscana,Fonti rinnovabili,7243.89461017
2021,Toscana,Fonti tradizionali,8468.13002983
2021,Trentino-Alto Adige,Saldo import/export,-4516.7373
2021,Trentino-Alto Adige,Fonti rinnovabili,803.6531784
2021,Trentino-Alto Adige,Fonti tradizionali,1379.4145716
2021,Umbria,Saldo import/export,1912.8406
2021,Umbria,Fonti tradizionali,1532.36593177
2021,Umbria,Fonti rinnovabili,745.23039223
2021,Valle d'Aosta,Fonti rinnovabili,44.6424847
2021,Valle d'Aosta,Fonti tradizionali,59.124396299999546
2021,Valle d'Aosta,Saldo import/export,-1843.3743
2021,Veneto,Fonti tradizionali,7843.534470047
2021,Veneto,Fonti rinnovabili,4102.697682093
2021,Veneto,Saldo import/export,17841.047
2022,Abruzzo,Fonti rinnovabili,1480.2005
2022,Abruzzo,Saldo import/export,1100.0503
2022,Abruzzo,Fonti tradizionali,2901.792534
2022,Basilicata,Fonti tradizionali,603.75192
2022,Basilicata,Saldo import/export,-972.40155
2022,Basilicata,Fonti rinnovabili,3541.4889
2022,Calabria,Fonti tradizionali,11176.994626
2022,Calabria,Fonti rinnovabili,4062.3532
2022,Calabria,Saldo import/export,-8681.157
2022,Campania,Fonti rinnovabili,5417.5745
2022,Campania,Saldo import/export,7243.822
2022,Campania,Fonti tradizionali,6352.26523
2022,Emilia-Romagna,Saldo import/export,4336.156
2022,Emilia-Romagna,Fonti tradizionali,21972.862436
2022,Emilia-Romagna,Fonti rinnovabili,5216.8603
2022,Friuli-Venezia Giulia,Saldo import/export,1271.7471
2022,Friuli-Venezia Giulia,Fonti tradizionali,7167.412394
2022,Friuli-Venezia Giulia,Fonti rinnovabili,1368.1667
2022,Lazio,Saldo import/export,9359.267
2022,Lazio,Fonti tradizionali,10720.70588
2022,Lazio,Fonti rinnovabili,2747.1442
