zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-27 21:15:00+02:00,162.79
IT-North,10Y1001A1001A73I,2026-04-27 21:30:00+02:00,158.68
IT-North,10Y1001A1001A73I,2026-04-27 21:45:00+02:00,162.79
IT-North,10Y1001A1001A73I,2026-04-27 22:00:00+02:00,162.79
IT-North,10Y1001A1001A73I,2026-04-27 22:15:00+02:00,162.79
IT-North,10Y1001A1001A73I,2026-04-27 22:30:00+02:00,142.25
IT-North,10Y1001A1001A73I,2026-04-27 22:45:00+02:00,137.11
IT-North,10Y1001A1001A73I,2026-04-27 23:00:00+02:00,142.25
IT-North,10Y1001A1001A73I,2026-04-27 23:15:00+02:00,137.11
IT-North,10Y1001A1001A73I,2026-04-27 23:30:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-27 23:45:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-28 00:00:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 00:15:00+02:00,135.0
IT-North,10Y1001A1001A73I,2026-04-28 00:30:00+02:00,135.0
IT-North,10Y1001A1001A73I,2026-04-28 00:45:00+02:00,119.55
IT-North,10Y1001A1001A73I,2026-04-28 01:00:00+02:00,135.59
IT-North,10Y1001A1001A73I,2026-04-28 01:15:00+02:00,135.0
IT-North,10Y1001A1001A73I,2026-04-28 01:30:00+02:00,135.43
IT-North,10Y1001A1001A73I,2026-04-28 01:45:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-28 02:00:00+02:00,135.49
IT-North,10Y1001A1001A73I,2026-04-28 02:15:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-28 02:30:00+02:00,121.0
IT-North,10Y1001A1001A73I,2026-04-28 02:45:00+02:00,129.5
IT-North,10Y1001A1001A73I,2026-04-28 03:00:00+02:00,120.69
IT-North,10Y1001A1001A73I,2026-04-28 03:15:00+02:00,129.69
IT-North,10Y1001A1001A73I,2026-04-28 03:30:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-28 03:45:00+02:00,135.49
IT-North,10Y1001A1001A73I,2026-04-28 04:00:00+02:00,130.0
IT-North,10Y1001A1001A73I,2026-04-28 04:15:00+02:00,130.94
IT-North,10Y1001A1001A73I,2026-04-28 04:30:00+02:00,124.46
IT-North,10Y1001A1001A73I,2026-04-28 04:45:00+02:00,135.0
IT-North,10Y1001A1001A73I,2026-04-28 05:00:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 05:15:00+02:00,124.46
IT-North,10Y1001A1001A73I,2026-04-28 05:30:00+02:00,136.48
IT-North,10Y1001A1001A73I,2026-04-28 05:45:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 06:00:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 06:15:00+02:00,141.62
IT-North,10Y1001A1001A73I,2026-04-28 06:30:00+02:00,146.83
IT-North,10Y1001A1001A73I,2026-04-28 06:45:00+02:00,150.23
IT-North,10Y1001A1001A73I,2026-04-28 07:00:00+02:00,157.01
IT-North,10Y1001A1001A73I,2026-04-28 07:15:00+02:00,149.47
IT-North,10Y1001A1001A73I,2026-04-28 07:30:00+02:00,148.55
IT-North,10Y1001A1001A73I,2026-04-28 07:45:00+02:00,148.62
IT-North,10Y1001A1001A73I,2026-04-28 08:00:00+02:00,151.49
IT-North,10Y1001A1001A73I,2026-04-28 08:15:00+02:00,147.31
