locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
ITMSN,Messina,,N/D,0,,,N/D,6632,,3,,6635,,3087,,3052,,6139,,3490,,3146,,6636,,2016,38.1892027778,15.5609138889
ITMSN,Messina,,N/D,,N/D,4,,7,,4,,7,,5,,5,,9,,3801,,3099,,6900,,2017,38.1892027778,15.5609138889
ITMLZ,Milazzo,0,,10284,,0,,58,,907,,14659,,323,,318,,641,,3818,,8432,,12250,,2014,38.2164722222,15.2428833333
ITMLZ,Milazzo,0,,15172,,72,,246,,89,,15579,,283,,276,,559,,2908,,8782,,11690,,2015,38.2164722222,15.2428833333
ITMLZ,Milazzo,,N/D,15396,,66,,219,,65,,15746,,195,,245,,440,,7049,,8697,,15746,,2016,38.2164722222,15.2428833333
ITMLZ,Milazzo,,N/D,17,,105,,10,,40,,17,,223,,232,,454,,6803,,10563,,17365,,2017,38.2164722222,15.2428833333
ITMNF,Monfalcone,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,45.788976,13.536257
ITMNF,Monfalcone,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,45.788976,13.536257
ITMNF,Monfalcone,3,,0,,2769,,1147,,845,,4764,,,N/D,,N/D,,N/D,4069,,695,,4764,,2016,45.788976,13.536257
ITMNF,Monfalcone,3,,,N/D,4,,1,,57,,5,,,N/D,,N/D,,N/D,4126,,830,,4956,,2017,45.788976,13.536257
ITMNP,Monopoli,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,40.9554222222,17.3030305556
ITMNP,Monopoli,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,40.9554222222,17.3030305556
ITMNP,Monopoli,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,40.9554222222,17.3030305556
ITNAP,Napoli,2928,,5464,,677,,4149,,223,,13441,,3778,,3874,,7652,,8464,,4977,,13441,,2014,40.8397722222,14.2762805556
ITNAP,Napoli,3883,,4818,,1006,,5002,,243,,16247,,3156,,3328,,6484,,10655,,4584,,15239,,2015,40.8397722222,14.2762805556
ITNAP,Napoli,4749,,6243,,1055,,3176,,43,,15266,,3208,,2785,,5993,,10120,,5147,,15267,,2016,40.8397722222,14.2762805556
ITNAP,Napoli,3,,7,,1,,4,,813,,15,,3,,3,,6,,10347,,5129,,15476,,2017,40.8397722222,14.2762805556
ITOLB,Olbia,0,,0,,94,,4697,,19,,4811,,1229,,1273,,2502,,2498,,2313,,4811,,2014,40.9235861111,9.5192972222
ITOLB,Olbia,0,,0,,93,,4384,,1,,4476,,1323,,1275,,2598,,2152,,2324,,4476,,2015,40.9235861111,9.5192972222
ITOLB,Olbia,0,,,N/D,140,,5051,,,N/D,5191,,1523,,1224,,2747,,2933,,2258,,5191,,2016,40.9235861111,9.5192972222
ITOLB,Olbia,,N/D,,N/D,713,,4,,,N/D,5,,1,,1,,3,,2474,,2236,,4710,,2017,40.9235861111,9.5192972222
ITQOS,Oristano,0,,283,,991,,0,,11,,1285,,,N/D,,N/D,,N/D,834,,451,,1285,,2014,39.8625833333,8.5519055556
ITQOS,Oristano,0,,100,,1216,,0,,0,,1315,,,N/D,,N/D,,N/D,828,,487,,1315,,2015,39.8625833333,8.5519055556
ITQOS,Oristano,,N/D,288,,1147,,,N/D,14,,1449,,,N/D,,N/D,,N/D,1009,,439,,1448,,2016,39.8625833333,8.5519055556
ITQOS,Oristano,,N/D,160,,1,,,N/D,23,,1,,,N/D,,N/D,,N/D,838,,581,,1419,,2017,39.8625833333,8.5519055556
ITOTN,Ortona,0,,777,,245,,0,,109,,1131,,,N/D,,N/D,,N/D,1020,,111,,1131,,2014,42.3513583333,14.411925
ITOTN,Ortona,0,,614,,447,,0,,113,,1174,,,N/D,,N/D,,N/D,1104,,68,,1172,,2015,42.3513583333,14.411925
ITOTN,Ortona,0,,449,,551,,1,,127,,1128,,,N/D,,N/D,,N/D,992,,137,,1129,,2016,42.3513583333,14.411925
ITOTN,Ortona,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,  ,N/D,  ,N/D,  ,N/D,2017,42.3513583333,14.411925
,Palau,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,687,,737,,1,,,N/D,,N/D,,N/D,2017,41.183333,9.383333
ITPMO,Palermo,101,,1826,,29,,4763,,323,,7042,,597,,557,,1154,,3224,,2818,,6042,,2014,38.1285666667,13.3672722222
ITPMO,Palermo,96,,1917,,42,,5090,,17,,7161,,565,,529,,1094,,3808,,2299,,6107,,2015,38.1285666667,13.3672722222
ITPMO,Palermo,182,,1865,,39,,5998,,154,,8238,,726,,726,,1452,,4915,,3323,,8238,,2016,38.1285666667,13.3672722222
ITPMO,Palermo,160,,2,,159,,7,,260,,9,,671,,680,,1,,5281,,3755,,9036,,2017,38.1285666667,13.3672722222
ITPMM,Palmi,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,38.3904611111,15.8619888889
ITPMM,Palmi,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,38.3904611111,15.8619888889
ITPMM,Palmi,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2016,38.3904611111,15.8619888889
ITPES,Pesaro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2014,43.9229166667,12.9052555556
ITPES,Pesaro,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2015,43.9229166667,12.9052555556
