name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2023-10-26 15:28:33,2021-08-20,2021-08-21,249.8,514.5,-,-,-,[],C,93.09,601.79,427.16,2761.42
Italy,IT,IT,2023-10-26 15:28:32,2021-08-19,2021-08-20,250,514.5,-,-,-,[],C,130.73,841.78,427.16,2750.51
Italy,IT,IT,2023-10-26 15:28:31,2021-08-18,2021-08-19,184.7,514.5,-,-,-,[],C,168.68,1083.83,427.16,2744.66
Italy,IT,IT,2023-10-26 15:28:29,2021-08-17,2021-08-18,152.8,514.5,-,-,-,[],C,129.38,836.06,427.16,2760.33
Italy,IT,IT,2023-10-26 15:28:28,2021-08-16,2021-08-17,210.3,514.5,-,-,-,[],C,79.08,518.73,427.16,2801.98
Italy,IT,IT,2023-10-26 15:28:27,2021-08-15,2021-08-16,147.5,514.5,-,-,-,[],C,89.31,578.87,427.16,2768.67
Italy,IT,IT,2023-10-26 15:28:26,2021-08-14,2021-08-15,434.1,514.5,-,-,-,[],C,87.3,560.25,427.16,2741.31
Italy,IT,IT,2023-10-26 15:28:26,2021-08-13,2021-08-14,206.5,514.5,-,-,-,[],C,99.75,635.07,427.16,2719.56
Italy,IT,IT,2023-10-26 15:28:25,2021-08-12,2021-08-13,193.9,514.5,-,-,-,[],C,130.96,835.11,427.16,2723.93
Italy,IT,IT,2023-10-26 15:28:24,2021-08-11,2021-08-12,195.4,514.5,-,-,-,[],C,160.09,1021.18,427.16,2724.76
Italy,IT,IT,2023-10-26 15:28:23,2021-08-10,2021-08-11,193.5,514.5,-,-,-,[],C,189.57,1209.47,427.16,2725.31
Italy,IT,IT,2023-10-26 15:28:22,2021-08-09,2021-08-10,339.4,514.5,-,-,-,[],C,218.68,1395.34,427.16,2725.6
Italy,IT,IT,2023-10-26 15:28:21,2021-08-08,2021-08-09,296.4,514.5,-,-,-,[],C,128.84,834.86,427.16,2767.92
Italy,IT,IT,2023-10-26 15:28:20,2021-08-07,2021-08-08,295.4,514.5,-,-,-,[],C,173.33,1123.75,427.16,2769.41
Italy,IT,IT,2023-10-26 15:28:20,2021-08-06,2021-08-07,402.9,514.5,-,-,-,[],C,217.72,1411.99,427.16,2770.28
Italy,IT,IT,2023-10-26 15:28:19,2021-08-05,2021-08-06,403.9,514.5,-,-,-,[],C,278.36,1805.59,427.16,2770.79
Italy,IT,IT,2023-10-26 15:28:18,2021-08-04,2021-08-05,414.7,514.5,-,-,-,[],C,278.65,1816.53,427.16,2784.67
Italy,IT,IT,2023-10-26 15:28:17,2021-08-03,2021-08-04,383.4,514.5,-,-,-,[],C,260.47,1711.01,427.16,2805.99
Italy,IT,IT,2023-10-26 15:28:16,2021-08-02,2021-08-03,321.5,514.5,-,-,-,[],C,317.88,2083.1,427.16,2799.22
Italy,IT,IT,2023-10-26 15:28:15,2021-08-01,2021-08-02,288.3,514.5,-,-,-,[],C,159.76,1026.34,427.16,2744.19
Italy,IT,IT,2023-10-26 15:28:14,2021-07-31,2021-08-01,319.4,514.5,-,-,-,[],C,81.68,527.71,427.16,2759.75
Italy,IT,IT,2023-10-26 15:28:13,2021-07-30,2021-07-31,421,514.5,-,-,-,[],C,111.63,716.77,427.16,2742.77
Italy,IT,IT,2023-10-26 15:28:12,2021-07-29,2021-07-30,402,514.5,-,-,-,[],E,165.3,1065.55,427.16,2753.54
Italy,IT,IT,2023-10-26 15:28:11,2021-07-28,2021-07-29,402.9,514.5,-,-,-,[],E,200.99,1288.25,427.16,2737.89
Italy,IT,IT,2023-10-26 15:28:10,2021-07-27,2021-07-28,361.4,514.5,-,-,-,[],E,198.05,1265.14,427.16,2728.69
Italy,IT,IT,2023-10-26 15:28:09,2021-07-26,2021-07-27,398.3,514.5,-,-,-,[],E,127.97,819.42,427.16,2735.2
Italy,IT,IT,2023-10-26 15:28:08,2021-07-25,2021-07-26,353.6,514.5,-,-,-,[],E,187.87,1207.37,427.16,2745.2
Italy,IT,IT,2023-10-26 15:28:07,2021-07-24,2021-07-25,353.6,514.5,-,-,-,[],E,220.22,1410.44,427.16,2735.83
Italy,IT,IT,2023-10-26 15:28:06,2021-07-23,2021-07-24,352.8,514.5,-,-,-,[],E,170.76,1081.32,427.16,2704.95
Italy,IT,IT,2023-10-26 15:28:05,2021-07-22,2021-07-23,346.8,514.5,-,-,-,[],E,136.29,873.04,427.16,2736.28
Italy,IT,IT,2023-10-26 15:28:04,2021-07-21,2021-07-22,256.6,514.5,-,-,-,[],E,167.92,1117.54,427.16,2842.83
Italy,IT,IT,2023-10-26 15:28:03,2021-07-20,2021-07-21,321.5,514.5,-,-,-,[],E,64.05,417.53,427.16,2784.58
Italy,IT,IT,2023-10-26 15:28:02,2021-07-19,2021-07-20,318.3,514.5,-,-,-,[],E,85.19,544.37,427.16,2729.58
Italy,IT,IT,2023-10-26 15:28:01,2021-07-18,2021-07-19,127.5,514.5,-,-,-,[],E,117.95,750.27,427.16,2717.13
Italy,IT,IT,2023-10-26 15:28:00,2021-07-17,2021-07-18,100.2,514.5,-,-,-,[],E,137.55,876.65,427.16,2722.43
Italy,IT,IT,2023-10-26 15:27:59,2021-07-16,2021-07-17,241.5,514.5,-,-,-,[],E,131.77,840.1,427.16,2723.36
Italy,IT,IT,2023-10-26 15:27:58,2021-07-15,2021-07-16,241.1,514.5,-,-,-,[],E,47.94,308.71,427.16,2750.7
Italy,IT,IT,2023-10-26 15:27:56,2021-07-14,2021-07-15,240.8,514.5,-,-,-,[],E,84.46,540.33,427.16,2732.74
Italy,IT,IT,2023-10-26 15:27:55,2021-07-13,2021-07-14,240.5,514.5,-,-,-,[],E,121.01,772.1,427.16,2725.48
Italy,IT,IT,2023-10-26 15:27:54,2021-07-12,2021-07-13,240.4,514.5,-,-,-,[],E,157.4,1002.81,427.16,2721.48
Italy,IT,IT,2023-10-26 15:27:53,2021-07-11,2021-07-12,175.6,514.5,-,-,-,[],C,194.23,1236.34,427.16,2719.02
Italy,IT,IT,2023-10-26 15:27:52,2021-07-10,2021-07-11,175.9,514.5,-,-,-,[],C,126.49,806.85,427.16,2724.75
Italy,IT,IT,2023-10-26 15:27:51,2021-07-09,2021-07-10,239.6,514.5,-,-,-,[],C,106.16,678.04,427.16,2728.26
Italy,IT,IT,2023-10-26 15:27:51,2021-07-08,2021-07-09,429.7,513.9,-,-,-,[],C,190.76,1214.38,427.16,2719.3
Italy,IT,IT,2023-10-26 15:27:49,2021-07-07,2021-07-08,385.3,514.5,-,-,-,[],C,119.45,770.02,427.16,2753.64
Italy,IT,IT,2023-10-26 15:27:49,2021-07-06,2021-07-07,385.5,514.5,-,-,-,[],C,116.67,760.17,427.16,2783.19
Italy,IT,IT,2023-10-26 15:27:48,2021-07-05,2021-07-06,383,514.5,-,-,-,[],C,174.65,1135.49,427.16,2777.19
Italy,IT,IT,2023-10-26 15:27:47,2021-07-04,2021-07-05,249.4,514.5,-,-,-,[],C,232.5,1509.89,427.16,2774.04
